Timestamp,LED,Distance_mm,Avg_IR,Avg_Red,Samples
2025-07-10T13:31:28.038223,red,0,83.3,19.6,10
2025-07-10T13:31:28.039223,red,0,61.9,24.9,20
2025-07-10T13:31:28.039223,red,0,50.13,22.0,30
2025-07-10T13:31:28.039223,red,0,46.0,22.8,40
2025-07-10T13:31:28.040224,red,0,44.96,19.94,50
2025-07-10T13:31:28.040224,red,0,43.72,20.55,60
2025-07-10T13:31:28.040224,red,0,40.47,18.84,70
2025-07-10T13:31:28.040224,red,0,39.34,17.15,80
2025-07-10T13:31:28.041221,red,0,38.37,16.49,90
2025-07-10T13:31:28.041221,red,0,36.96,15.27,100
2025-07-10T13:31:28.041221,red,0,36.15,14.46,110
2025-07-10T13:31:28.042219,red,0,35.45,14.32,120
2025-07-10T13:31:28.042219,red,0,34.38,13.98,130
2025-07-10T13:31:28.042219,red,0,33.95,13.4,140
2025-07-10T13:31:28.042219,red,0,33.31,13.06,150
2025-07-10T13:31:28.043220,red,0,33.44,12.89,160
2025-07-10T13:31:28.043220,red,0,32.65,12.65,170
2025-07-10T13:31:28.043220,red,0,32.34,12.47,180
2025-07-10T13:31:28.043220,red,0,32.04,12.04,190
2025-07-10T13:31:28.044221,red,0,31.89,11.87,200
2025-07-10T13:31:28.045227,red,0,31.76,11.64,210
2025-07-10T13:31:28.045227,red,0,31.63,11.48,220
2025-07-10T13:31:28.045227,red,0,32.11,11.24,230
2025-07-10T13:31:28.045227,red,0,31.79,11.22,240
2025-07-10T13:31:28.045227,red,0,31.1,10.98,250
2025-07-10T13:31:28.045227,red,0,30.89,10.83,260
2025-07-10T13:31:41.992006,red,5,179.6,144.7,10
2025-07-10T13:31:41.993033,red,5,117.95,130.85,20
2025-07-10T13:31:41.994026,red,5,168.7,151.37,30
2025-07-10T13:31:41.995036,red,5,143.35,125.43,40
2025-07-10T13:31:41.995036,red,5,146.8,117.16,50
2025-07-10T13:31:41.995036,red,5,137.78,111.5,60
2025-07-10T13:31:41.995036,red,5,123.94,104.14,70
2025-07-10T13:31:41.996026,red,5,111.06,95.81,80
2025-07-10T13:31:41.996026,red,5,116.88,89.61,90
2025-07-10T13:31:41.996026,red,5,114.19,92.34,100
2025-07-10T13:31:41.996026,red,5,114.23,88.37,110
2025-07-10T13:31:41.996026,red,5,110.05,86.92,120
2025-07-10T13:31:41.996026,red,5,106.99,84.53,130
2025-07-10T13:31:41.996026,red,5,103.9,84.42,140
2025-07-10T13:31:41.996026,red,5,101.74,87.03,150
2025-07-10T13:31:41.996026,red,5,97.62,85.02,160
2025-07-10T13:31:41.997024,red,5,116.43,84.23,170
2025-07-10T13:31:41.997024,red,5,115.1,82.82,180
2025-07-10T13:31:41.997024,red,5,113.4,82.83,190
2025-07-10T13:31:41.997024,red,5,114.71,86.26,200
2025-07-10T13:31:41.997024,red,5,113.82,85.38,210
2025-07-10T13:31:41.998023,red,5,113.1,82.63,220
2025-07-10T13:31:41.998023,red,5,168.12,86.73,230
2025-07-10T13:31:41.998023,red,5,165.39,86.52,240
2025-07-10T13:31:41.998023,red,5,161.26,85.36,250
2025-07-10T13:31:41.998023,red,5,157.15,83.08,260
