LED,Distance_mm,Avg_IR,Avg_Red
red,0,83.3,19.6
red,0,61.9,24.9
red,0,50.13,22.0
red,0,46.0,22.8
red,0,44.96,19.94
red,0,43.72,20.55
red,0,40.47,18.84
red,0,39.34,17.15
red,0,38.37,16.49
red,0,36.96,15.27
red,0,36.15,14.46
red,0,35.45,14.32
red,0,34.38,13.98
red,0,33.95,13.4
red,0,33.31,13.06
red,0,33.44,12.89
red,0,32.65,12.65
red,0,32.34,12.47
red,0,32.04,12.04
red,0,31.89,11.87
red,0,31.76,11.64
red,0,31.63,11.48
red,0,32.11,11.24
red,0,31.79,11.22
red,0,31.1,10.98
red,0,30.89,10.83
red,5,179.6,144.7
red,5,117.95,130.85
red,5,168.7,151.37
red,5,143.35,125.43
red,5,146.8,117.16
red,5,137.78,111.5
red,5,123.94,104.14
red,5,111.06,95.81
red,5,116.88,89.61
red,5,114.19,92.34
red,5,114.23,88.37
red,5,110.05,86.92
red,5,106.99,84.53
red,5,103.9,84.42
red,5,101.74,87.03
red,5,97.62,85.02
red,5,116.43,84.23
red,5,115.1,82.82
red,5,113.4,82.83
red,5,114.71,86.26
red,5,113.82,85.38
red,5,113.1,82.63
red,5,168.12,86.73
red,5,165.39,86.52
red,5,161.26,85.36
red,5,157.15,83.08
red,10,19.8,12.6
red,10,19.95,11.0
red,10,18.6,10.4
red,10,18.0,10.32
red,10,18.36,10.46
red,10,18.95,10.42
red,10,20.07,10.8
red,10,20.52,10.76
red,10,21.58,11.39
red,10,21.85,10.71
red,10,21.58,10.95
red,10,21.94,13.25
red,10,22.42,12.85
red,10,22.76,12.76
red,10,23.31,12.72
red,10,23.06,12.43
red,10,22.97,12.2
red,10,23.06,12.05
red,10,23.18,11.85
red,10,23.3,11.78
red,10,23.37,11.69
red,10,23.5,11.93
red,10,23.46,12.0
red,10,23.58,11.83
red,10,23.23,11.69
red,10,23.39,11.69
red,15,21.0,3.4
red,15,20.6,10.95
red,15,24.47,12.03
red,15,22.42,11.68
red,15,21.7,10.26
red,15,21.63,10.0
red,15,21.1,9.73
red,15,20.58,9.04
red,15,21.24,9.12
red,15,21.04,9.02
red,15,21.05,9.27
red,15,20.96,9.27
red,15,20.85,9.11
red,15,20.8,9.02
red,15,20.46,9.0
red,15,20.33,8.73
red,15,20.15,8.62
red,15,20.01,8.43
red,15,19.83,8.38
red,15,19.61,8.33
red,15,19.38,8.09
red,15,19.21,8.03
red,15,19.19,7.99
red,15,19.1,7.93
red,15,19.11,7.92
red,15,19.2,7.85
red,20,12.6,7.3
red,20,13.2,7.6
red,20,14.4,7.93
red,20,14.57,7.75
red,20,14.06,6.9
red,20,14.25,6.82
red,20,14.51,6.91
red,20,14.66,6.54
red,20,15.09,6.3
red,20,14.81,6.49
red,20,14.96,6.49
red,20,14.7,6.26
red,20,14.65,6.21
red,20,14.75,6.15
red,20,14.75,5.92
red,20,14.68,5.92
red,20,14.64,6.01
red,20,14.68,6.01
red,20,14.63,5.97
red,20,14.52,6.01
red,20,14.71,6.06
red,20,14.78,5.95
red,20,14.74,5.93
red,20,14.74,5.94
red,20,14.91,6.04
red,20,15.0,6.08
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,0,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,5,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,10,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,15,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
ir,20,1.0,1.0
green,0,15.1,1.7
green,0,16.0,1.5
green,0,15.57,1.4
green,0,15.38,1.42
green,0,15.52,1.42
green,0,15.28,1.42
green,0,15.21,1.39
green,0,15.06,1.3
green,0,15.0,1.47
green,0,15.04,1.55
green,0,15.07,1.55
green,0,14.97,1.52
green,0,14.77,1.55
green,0,14.78,1.56
green,0,14.78,1.53
green,0,14.7,1.56
green,0,14.52,1.54
green,0,14.53,1.57
green,0,14.48,1.57
green,0,14.43,1.59
green,0,14.46,1.56
green,0,14.44,1.64
green,0,14.41,1.62
green,0,14.36,1.59
green,0,14.33,1.56
green,0,14.33,1.59
green,5,14.2,1.6
green,5,13.95,1.25
green,5,13.53,1.5
green,5,13.6,1.58
green,5,13.82,1.58
green,5,13.93,1.75
green,5,13.94,1.7
green,5,14.05,1.64
green,5,14.12,1.59
green,5,14.14,1.58
green,5,14.09,1.63
green,5,14.11,1.55
green,5,14.02,1.6
green,5,13.88,1.68
green,5,13.84,1.64
green,5,13.69,1.66
green,5,13.8,1.68
green,5,13.87,1.7
green,5,13.83,1.69
green,5,13.77,1.68
green,5,13.75,1.65
green,5,13.69,1.63
green,5,13.72,1.63
green,5,13.72,1.62
green,5,13.76,1.66
green,5,13.87,1.66
green,10,14.9,4.5
green,10,15.4,4.05
green,10,14.97,3.57
green,10,14.48,3.47
green,10,14.82,4.36
green,10,14.15,4.53
green,10,14.0,4.37
green,10,13.89,4.62
green,10,14.07,4.53
green,10,14.33,4.4
green,10,14.42,4.25
green,10,14.47,4.28
green,10,14.42,4.27
green,10,14.36,4.17
green,10,14.32,4.14
green,10,14.3,4.11
green,10,14.28,4.04
green,10,14.32,3.93
green,10,14.27,3.91
green,10,14.23,3.88
green,10,14.23,3.88
green,10,14.17,3.81
green,10,14.15,3.81
green,10,14.19,3.81
green,10,14.17,3.76
green,10,14.18,3.76
green,15,10.6,0.6
green,15,11.05,0.8
green,15,10.87,1.27
green,15,11.0,1.67
green,15,10.78,1.78
green,15,10.88,1.6
green,15,10.9,1.7
green,15,10.88,1.75
green,15,10.91,1.81
green,15,10.85,1.87
green,15,10.85,1.95
green,15,10.73,1.9
green,15,10.78,1.92
green,15,10.77,1.91
green,15,10.77,1.87
green,15,10.77,1.88
green,15,10.84,1.92
green,15,10.84,1.94
green,15,10.86,1.95
green,15,10.85,1.98
green,15,10.82,1.95
green,15,10.79,1.97
green,15,10.73,1.94
green,15,10.75,1.91
green,15,10.75,1.89
green,15,10.79,1.94
green,20,10.8,3.3
green,20,9.9,2.8
green,20,10.53,2.93
green,20,10.9,2.88
green,20,11.06,2.96
green,20,10.93,3.02
green,20,11.19,3.23
green,20,11.32,3.22
green,20,11.47,3.1
green,20,11.45,3.04
green,20,11.51,2.94
green,20,11.57,2.87
green,20,11.5,2.82
green,20,11.44,2.79
green,20,11.35,2.76
green,20,11.27,2.73
green,20,11.24,2.66
green,20,11.23,2.62
green,20,11.27,2.59
green,20,11.27,2.6
green,20,11.26,2.6
green,20,11.26,2.59
green,20,11.29,2.57
green,20,11.27,2.57
green,20,11.28,2.58
green,20,11.23,2.59
green,20,11.21,2.59
blue,0,24.0,1.2
blue,0,22.0,2.3
blue,0,23.27,1.9
blue,0,25.08,1.88
blue,0,26.54,1.7
blue,0,28.43,1.77
blue,0,29.89,1.77
blue,0,30.92,1.8
blue,0,31.76,1.84
blue,0,32.22,1.85
blue,0,32.76,1.85
blue,0,33.14,1.88
blue,0,33.44,1.84
blue,0,33.78,1.82
blue,0,33.93,1.79
blue,0,33.96,1.81
blue,0,34.16,1.81
blue,0,34.26,1.8
blue,0,33.97,1.84
blue,0,33.85,1.83
blue,0,33.73,1.91
blue,0,33.63,1.87
blue,0,33.51,1.87
blue,0,33.34,1.88
blue,0,33.24,1.87
blue,0,33.08,1.88
blue,5,11.9,1.4
blue,5,12.75,1.1
blue,5,12.97,0.93
blue,5,12.95,1.08
blue,5,12.86,1.14
blue,5,13.02,1.18
blue,5,13.1,1.17
blue,5,13.0,1.29
blue,5,13.03,1.31
blue,5,13.08,1.23
blue,5,13.09,1.24
blue,5,13.07,1.27
blue,5,13.1,1.26
blue,5,13.12,1.29
blue,5,13.07,1.33
blue,5,13.09,1.36
blue,5,13.08,1.36
blue,5,13.14,1.38
blue,5,13.16,1.39
blue,5,13.16,1.38
blue,5,13.17,1.4
blue,5,13.17,1.41
blue,5,13.2,1.4
blue,5,13.19,1.4
blue,5,13.16,1.39
blue,5,13.13,1.4
blue,10,8.6,0.7
blue,10,10.0,0.85
blue,10,9.73,0.9
blue,10,9.8,1.0
blue,10,9.94,1.12
blue,10,9.82,1.22
blue,10,9.89,1.24
blue,10,9.76,1.2
blue,10,9.79,1.17
blue,10,9.7,1.15
blue,10,9.69,1.19
blue,10,9.68,1.21
blue,10,9.72,1.14
blue,10,9.58,1.16
blue,10,9.57,1.15
blue,10,9.49,1.17
blue,10,9.49,1.2
blue,10,9.6,1.22
blue,10,9.58,1.21
blue,10,9.65,1.2
blue,10,9.68,1.18
blue,10,9.63,1.24
blue,10,9.64,1.25
blue,10,9.6,1.22
blue,10,9.68,1.2
blue,10,9.67,1.18
blue,15,8.3,1.7
blue,15,8.5,1.45
blue,15,8.67,1.5
blue,15,8.4,1.45
blue,15,8.44,1.38
blue,15,8.42,1.33
blue,15,8.61,1.41
blue,15,8.48,1.4
blue,15,8.63,1.37
blue,15,8.6,1.32
blue,15,8.51,1.28
blue,15,8.45,1.29
blue,15,8.45,1.32
blue,15,8.46,1.29
blue,15,8.48,1.29
blue,15,8.51,1.28
blue,15,8.53,1.25
blue,15,8.54,1.28
blue,15,8.59,1.28
blue,15,8.59,1.27
blue,15,8.61,1.29
blue,15,8.63,1.27
blue,15,8.58,1.3
blue,15,8.57,1.32
blue,15,8.6,1.3
blue,15,8.6,1.31
blue,20,8.1,2.1
blue,20,7.35,1.8
blue,20,7.5,1.87
blue,20,7.9,1.67
blue,20,7.74,1.78
blue,20,7.82,1.72
blue,20,7.87,1.57
blue,20,7.84,1.55
blue,20,7.86,1.47
blue,20,7.85,1.55
blue,20,7.96,1.55
blue,20,7.93,1.58
blue,20,7.92,1.52
blue,20,7.93,1.47
blue,20,7.89,1.47
blue,20,7.93,1.47
blue,20,7.95,1.48
blue,20,7.94,1.43
blue,20,7.88,1.38
blue,20,7.91,1.41
blue,20,7.9,1.4
blue,20,7.92,1.35
blue,20,7.93,1.34
blue,20,7.93,1.35
blue,20,7.95,1.37
blue,20,7.98,1.38
